Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_Pasien_Dalam_Perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawat,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_,Kasus_Sedang_Investigasi_Lapang,Jumlah_Spesimen_Diperiksa_Terki,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Suspek_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
114,2020/06/23 00:00:00+00,47896,19241,2535,26120,1051,506,35,510,40.17245699,5.292717555,54.53482546,668219,401681,353785,17908,8564,13348,35983,,,,,,,,,,,,,1970/01/01 00:00:00+00,61
115,2020/06/24 00:00:00+00,49009,19658,2573,26778,1113,417,38,658,40.11100002,5.250056112,54.63894387,689452,413919,364910,21233,12238,13069,36648,,,,,,,,,,,,,1970/01/01 00:00:00+00,62
116,2020/06/25 00:00:00+00,50187,20449,2620,27118,1178,791,47,340,40.74561141,5.220475422,54.03391316,708962,427158,376971,19510,13239,13323,37294,,,,,,,,,,,,,1970/01/01 00:00:00+00,63
117,2020/06/26 00:00:00+00,51427,21333,2683,27411,1240,884,63,293,41.48210084,5.217103856,53.3007953,731781,439907,388480,22819,12749,13506,38381,,,,,,,,,,,,,1970/01/01 00:00:00+00,64
118,2020/06/27 00:00:00+00,52812,21909,2720,28183,1385,576,37,772,41.4848898,5.150344619,53.36476558,753370,449569,396757,21589,9662,13522,40541,,,,,,,,,,,,,1970/01/01 00:00:00+00,65
119,2020/06/28 00:00:00+00,54010,22936,2754,28320,1198,1027,34,137,42.46620996,5.09905573,52.43473431,770600,456636,402626,17230,7067,14712,47658,,,,,,,,,,,,,1970/01/01 00:00:00+00,66
120,2020/06/29 00:00:00+00,55092,23800,2805,28487,1082,864,51,167,43.20046468,5.091483337,51.70805199,782383,465683,410591,11783,9047,13335,41605,,,,,,,,,,,,,1970/01/01 00:00:00+00,67
121,2020/06/30 00:00:00+00,56385,24806,2876,28703,1293,1006,71,216,43.99397003,5.100647335,50.90538264,803896,477318,420933,21515,11636,13182,43797,,,,,,,,,,,,,1970/01/01 00:00:00+00,68
122,2020/07/01 00:00:00+00,57770,25595,2934,29241,1385,789,58,538,44.3050026,5.078760602,50.6162368,825636,492318,434548,21738,15000,13296,45192,,,,,,,,,,,,,1970/01/01 00:00:00+00,69
123,2020/07/02 00:00:00+00,59394,26667,2987,29740,1624,1072,53,499,44.89847459,5.029127521,50.07239789,849155,503132,443738,23519,10814,13359,40778,,,,,,,,,,,,,1970/01/01 00:00:00+00,70
124,2020/07/03 00:00:00+00,60695,27568,3036,30091,1301,901,49,351,45.42054535,5.002059478,49.57739517,871436,519970,459275,22281,16838,13609,38767,,,,,,,,,,,,,1970/01/01 00:00:00+00,71
125,2020/07/04 00:00:00+00,62142,28219,3089,30834,1447,651,53,743,45.41051141,4.970873161,49.61861543,894428,529669,467257,22992,9699,14205,38890,,,,,,,,,,,,,1970/01/01 00:00:00+00,72
126,2020/07/05 00:00:00+00,63749,29105,3171,31473,1607,886,82,639,45.65561813,4.974195674,49.3701862,915482,540175,476426,21045,10506,13767,39928,,,,,,,,,,,,,1970/01/01 00:00:00+00,73
127,2020/07/06 00:00:00+00,64958,29919,3241,31798,1209,814,70,325,46.05899196,4.989377752,48.95163028,928238,552084,487126,12756,11909,13360,38748,,,,,,,,,,,,,1970/01/01 00:00:00+00,74
